condensor_pressure(atm),reboiler(pot)_heat_duty(Watt),reflux_ratio,input_mass_fraction_of_acetic_acid,pot_pressure(atm),daily_work(min),produced_acetic_acid_mass_fraction,reboiler(pot)_temperature(C),condensor_temperature(C),upper_product_flow_rate(kg/hr),condensor_mass_flow_outlet_rate,fraction_over_pressure,duty_over_frac_multiplyed_by_pressure,reboiler_temp_on_flowrate,condensor_temp_on_flowrate,upper_product_precent,aceticindutyoverflow,refluxin_pot_devidedby_cond_temp,daily_work_multip_duty,order,order,atmosphere_pressure(kpa)
0.2,466.7,0.8,0.99,0.298692327,104.97,0.996643,83.06039644,72.52833811,2.422355123,4.360239221,4.983215,2341.359945,34.28910801,29.94124909,99.6643,192.0169688,4.973855232,48989.499,2.5,2,20.265
0.2,466.7,1,0.99,0.298692327,113.544,0.997685,83.10312274,72.50481213,2.17383825,4.3476765,4.988425,2338.914587,38.22875172,33.3533611,99.7685,214.1923805,5.429600311,52990.9848,2.6,3,20.265
0.2,466.7,1.2,0.99,0.298692327,122.082,0.998508,83.13741844,72.48383872,1.97167417,4.337683173,4.99254,2336.986784,42.1659013,36.76258473,99.8508,236.349236,5.782343309,56975.6694,2.8,3,20.265
0.2,466.7,1.4,0.99,0.298692327,130.69,0.99908,83.16391595,72.46871411,1.80390935,4.329382439,4.9954,2335.648797,46.10204829,40.17314624,99.908,258.4778642,6.069933316,60993.023,3,3,20.265
0.2,466.7,1.6,0.99,0.298692327,139.251,0.999428,83.17705889,72.46871411,1.662280444,4.321929155,4.99714,2334.835526,50.03792181,43.59596141,99.9428,280.5982885,6.309866983,64988.4417,3.2,3,20.265
0.2,466.7,1.8,0.99,0.298692327,147.837,0.999632,83.18973604,72.45290501,1.541770675,4.316957891,4.99816,2334.359044,53.95726962,46.99330851,99.9632,302.5925073,6.517593834,68995.5279,3.4,3,20.265
0.2,466.7,2,0.99,0.298692327,156.416,0.999746,83.19145503,72.44915706,1.43686996,4.310609879,4.99873,2334.09286,57.89769245,50.4215128,99.9746,324.7207272,6.698173132,72999.3472,3.6,4,20.265
0.2,466.7,2.2,0.99,0.298692327,164.992,0.999817,83.19901584,72.44691092,1.346049916,4.30735973,4.999085,2333.927109,61.80975525,53.8218606,99.9817,346.6547477,6.859323925,77001.7664,3.7,4,20.265
0.2,466.7,2.4,0.99,0.298692327,173.511,0.999861,83.20212769,72.44542202,1.26582207,4.30379504,4.999305,2333.824402,65.72971797,57.23191569,99.9861,368.6419597,7.003985251,80977.5837,3.9,4,20.265
0.2,466.7,2.6,0.99,0.298692327,182.072,0.999899,83.20359704,72.44441697,1.194418492,4.29990657,4.999495,2333.735707,69.660339,60.65245764,99.9899,390.6946071,7.135237791,84973.0024,4,4,20.265
0.2,466.7,2.8,0.99,0.298692327,190.615,0.999919,83.20574862,72.44372663,1.130737396,4.296802105,4.999595,2333.689029,73.58538677,64.0676844,99.9919,412.7060792,7.255584224,88960.0205,4.1,4,20.265
0.2,466.7,3,0.99,0.298692327,199.204,0.999937,83.2053164,72.44322502,1.073517193,4.294068772,4.999685,2333.64702,77.5072043,67.48212836,99.9937,434.7118061,7.366250246,92968.5068,4.2,4,20.265
0.2,466.7,3.2,0.99,0.298692327,207.777,0.999946,83.20752523,72.44286574,1.021761097,4.291396607,4.99973,2333.626016,81.43540157,70.90000388,99.9946,456.7357278,7.46898772,96969.5259,4.3,4,20.265
0.2,466.7,3.4,0.99,0.298692327,216.33,0.999955,83.20645336,72.44258742,0.97477736,4.289020386,4.999775,2333.605012,85.35944385,74.31705984,99.9955,478.7544494,7.564528876,100961.211,4.3,4,20.265
0.2,466.7,3.6,0.99,0.298692327,224.918,0.999961,83.20836725,72.44238123,0.93193137,4.2868843,4.999805,2333.59101,89.28593882,77.73360099,99.9961,500.7684192,7.654275782,104969.2306,4.4,4,20.265
0.2,466.7,3.8,0.99,0.298692327,233.479,0.999969,83.2089033,72.44221707,0.892687266,4.284898878,4.999845,2333.572341,93.21170631,81.15072299,99.9969,522.7872626,7.738378345,108964.6493,4.5,5,20.265
0.2,466.7,4,0.99,0.298692327,242.094,0.999975,83.20891113,72.44208568,0.856616318,4.283081592,4.999875,2333.558339,97.13673362,84.56771617,99.9975,544.804392,7.817618419,112985.2698,4.6,5,20.265
0.2,466.7,4.2,0.99,0.298692327,250.646,0.999979,83.20963948,72.44198063,0.823358776,4.281465635,4.999895,2333.549005,101.0612165,87.98349243,99.9979,566.812686,7.892584419,116976.4882,4.7,5,20.265
0.2,466.7,4.4,0.99,0.298692327,259.239,0.999982,83.209243,72.44189315,0.792582304,4.279944443,4.99991,2333.542004,104.9849871,91.39983665,99.9982,588.8241472,7.963587409,120986.8413,4.7,5,20.265
0.2,466.7,4.6,0.99,0.298692327,267.827,0.999984,83.21004464,72.44182221,0.763992498,4.27835799,4.99992,2333.537337,108.9147404,94.82007006,99.9984,610.8600986,8.031155626,124994.8609,4.8,5,20.265
0.2,466.7,4.8,0.99,0.298692327,276.417,0.999986,83.20914054,72.44176095,0.737402883,4.276936719,4.99993,2333.532669,112.8408127,98.2390531,99.9986,632.8880415,8.095414461,129003.8139,4.9,5,20.265
0.2,466.7,5,0.99,0.298692327,284.966,0.999987,83.21026025,72.44171122,0.715728591,4.294371547,4.999935,2333.530336,116.2595169,101.2139407,99.9987,652.0543382,8.156895713,132993.6322,4.9,5,20.265
0.2,466.7,5.2,0.99,0.298692327,293.564,0.999988,83.21042249,72.44166775,0.691965751,4.290187658,4.99994,2333.528002,120.2522268,104.6896723,99.9988,674.4472522,8.215641579,137006.3188,4.9,5,20.265
0.2,466.7,5.4,0.99,0.298692327,302.168,0.999989,83.21029806,72.44163004,0.668192892,4.276434511,4.999945,2333.525669,124.5303549,108.4142481,99.9989,698.4433262,8.271913334,141021.8056,5,5,20.265
0.2,466.7,5.6,0.99,0.298692327,310.755,0.99999,83.21065012,72.44159778,0.648324337,4.278940627,4.99995,2333.523335,128.3472566,111.7366627,99.999,719.8485482,8.325955602,145029.3585,5,5,20.265
0.2,466.7,5.8,0.99,0.298692327,319.34,0.99999,83.21035907,72.44156916,0.630089823,4.284610796,4.99995,2333.523335,132.0611063,114.9702257,99.999,740.6806396,8.377851568,149035.978,5,5,20.265
0.2,466.7,6,0.99,0.298692327,327.958,0.999989,83.21093279,72.44154454,0.6108083,4.275658103,4.999945,2333.525669,136.2308481,118.5994763,99.9989,764.0611072,8.42786114,153057.9986,5,5,20.265
0.2,466.7,6.2,0.99,0.298692327,336.638,0.999992,83.21079233,72.44152231,0.592816551,4.268279166,4.99996,2333.518668,140.3651639,122.1988863,99.9992,787.2524236,8.476035055,157108.9546,5.1,5,20.265
